Team,Ranking,Year
Spain,106.998,2018
England,79.605,2018
Italy,76.249,2018
Germany,71.427,2018
France,56.415,2018
Russia,53.382,2018
Portugal,47.248,2018
Ukraine,41.133,2018
Belgium,38.500,2018
Turkey,35.800,2018
Austria,32.850,2018
Switzerland,30.200,2018
Czech Republic,30.175,2018
Netherlands,29.749,2018
Greece,28.600,2018
Croatia,26.000,2018
Denmark,25.950,2018
Israel,21.750,2018
Cyprus,21.550,2018
Romania,20.450,2018
Poland,20.125,2018
Sweden,19.975,2018
Azerbaijan,19.125,2018
Bulgaria,19.125,2018
Serbia,18.750,2018
Scotland,18.625,2018
Belarus,18.625,2018
Kazakhstan,18.125,2018
Norway,17.425,2018
Slovenia,14.500,2018
Liechtenstein,13.000,2018
Slovakia,12.125,2018
Moldova,10.000,2018
Albania,8.500,2018
Iceland,8.250,2018
Hungary,8.125,2018
North Macedonia,7.500,2018
Finland,6.900,2018
Ireland,6.700,2018
Bosnia-Herzegovina,6.625,2018
Latvia,5.625,2018
Estonia,5.500,2018
Lithuania,5.375,2018
Montenegro,5.000,2018
Georgia,5.000,2018
Armenia,4.875,2018
Malta,4.500,2018
Luxembourg,4.375,2018
Northern Ireland,4.250,2018
Wales,3.875,2018
Faroe Islands,3.750,2018
Gibraltar,3.000,2018
Andorra,1.331,2018
San Marino,0.499,2018
Kosovo,0.000,2018
Spain,103.569,2019
England,85.462,2019
Italy,74.725,2019
Germany,71.927,2019
France,58.498,2019
Russia,50.549,2019
Portugal,48.232,2019
Belgium,39.900,2019
Ukraine,38.900,2019
Turkey,34.600,2019
Netherlands,32.433,2019
Austria,31.250,2019
Czech Republic,28.675,2019
Greece,27.600,2019
Croatia,27.375,2019
Denmark,27.025,2019
Switzerland,26.900,2019
Cyprus,24.925,2019
Serbia,22.250,2019
Scotland,22.125,2019
Belarus,21.875,2019
Sweden,20.900,2019
Norway,20.200,2019
Kazakhstan,19.250,2019
Poland,19.250,2019
Azerbaijan,19.000,2019
Israel,18.625,2019
Bulgaria,17.500,2019
Romania,15.950,2019
Slovakia,15.625,2019
Slovenia,15.000,2019
Liechtenstein,13.500,2019
Hungary,10.500,2019
North Macedonia,8.000,2019
Moldova,7.750,2019
Albania,7.500,2019
