Team,Ranking,Year
Spain,70.833,1960
France,40.500,1960
Italy,36.500,1960
England,33.333,1960
Scotland,26.000,1960
Yugoslavia,25.166,1960
Hungary,24.500,1960
Austria,22.000,1960
Germany,20.000,1960
Switzerland,16.999,1960
Czechoslovakia,16.000,1960
Netherlands,13.000,1960
Sweden,13.000,1960
Belgium,12.500,1960
East Germany,12.000,1960
Bulgaria,10.000,1960
Romania,9.000,1960
Turkey,8.000,1960
Denmark,7.500,1960
Poland,7.000,1960
Luxembourg,6.000,1960
Portugal,6.000,1960
Northern Ireland,3.000,1960
Saarland,2.000,1960
Greece,1.000,1960
Ireland,1.000,1960
Finland,0.000,1960
Spain,68.333,1961
England,41.666,1961
Italy,36.500,1961
France,31.500,1961
Austria,25.000,1961
Scotland,24.000,1961
Portugal,23.000,1961
Germany,22.750,1961
Hungary,22.500,1961
Yugoslavia,22.416,1961
Czechoslovakia,20.500,1961
Switzerland,18.749,1961
Sweden,17.000,1961
East Germany,14.000,1961
Bulgaria,13.000,1961
Belgium,13.000,1961
Denmark,12.500,1961
Netherlands,12.000,1961
Turkey,10.000,1961
Romania,9.000,1961
Poland,8.000,1961
Luxembourg,6.000,1961
Norway,3.000,1961
Northern Ireland,3.000,1961
Greece,2.000,1961
Ireland,1.000,1961
Finland,0.000,1961
Spain,71.933,1962
England,34.666,1962
Italy,31.500,1962
Hungary,29.500,1962
Scotland,28.250,1962
Portugal,28.250,1962
Austria,26.500,1962
France,26.000,1962
Germany,23.950,1962
Czechoslovakia,21.833,1962
East Germany,20.000,1962
Belgium,19.000,1962
Yugoslavia,18.616,1962
Switzerland,16.999,1962
Sweden,16.000,1962
Netherlands,15.500,1962
Denmark,13.166,1962
Bulgaria,9.000,1962
Poland,8.000,1962
Turkey,8.000,1962
Romania,6.000,1962
Luxembourg,4.500,1962
Greece,3.000,1962
Norway,3.000,1962
Northern Ireland,3.000,1962
Wales,1.000,1962
Ireland,1.000,1962
Malta,0.000,1962
Finland,0.000,1962
Spain,68.433,1963
Italy,32.500,1963
Scotland,32.250,1963
Portugal,31.650,1963
England,30.999,1963
France,27.333,1963
Austria,27.166,1963
Czechoslovakia,24.833,1963
Belgium,24.500,1963
Germany,24.150,1963
Hungary,23.833,1963
Yugoslavia,20.916,1963
East Germany,19.666,1963
Sweden,19.000,1963
Switzerland,15.999,1963
Netherlands,14.833,1963
Bulgaria,13.500,1963
Denmark,13.416,1963
Turkey,11.000,1963
Poland,9.500,1963
Romania,8.000,1963
Luxembourg,4.833,1963
Wales,3.000,1963
Northern Ireland,3.000,1963
Greece,3.000,1963
Norway,3.000,1963
Ireland,2.333,1963
Albania,1.000,1963
Malta,0.000,1963
Finland,0.000,1963
Spain,66.833,1964
Italy,39.700,1964
Scotland,35.750,1964
Portugal,33.650,1964
England,33.599,1964
Czechoslovakia,28.833,1964
Hungary,27.833,1964
Germany,25.150,1964
Austria,24.166,1964
Yugoslavia,23.166,1964
Belgium,20.500,1964
Sweden,19.000,1964
Netherlands,18.499,1964
France,17.666,1964
Turkey,15.500,1964
Bulgaria,14.500,1964
East Germany,12.666,1964
Poland,12.500,1964
Denmark,12.082,1964
Switzerland,8.499,1964
Romania,8.000,1964
Wales,6.000,1964
Greece,4.666,1964
Luxembourg,4.499,1964
Northern Ireland,4.000,1964
Ireland,3.333,1964
Albania,3.000,1964
Norway,3.000,1964
Cyprus,2.000,1964
Finland,1.000,1964
Malta,0.500,1964
Spain,52.333,1965
Italy,43.128,1965
England,38.849,1965
Portugal,38.650,1965
Hungary,36.333,1965
Scotland,29.550,1965
Czechoslovakia,27.499,1965
Germany,25.983,1965
Yugoslavia,22.100,1965
Belgium,19.800,1965
Austria,18.666,1965
Bulgaria,18.500,1965
Netherlands,18.499,1965
France,16.566,1965
Sweden,16.333,1965
Poland,15.500,1965
Wales,14.000,1965
Turkey,11.833,1965
Denmark,11.832,1965
Romania,11.666,1965
East Germany,11.332,1965
Switzerland,11.166,1965
Greece,5.999,1965
Norway,4.333,1965
Albania,4.000,1965
Ireland,3.333,1965
Luxembourg,3.165,1965
Finland,3.000,1965
Northern Ireland,2.500,1965
Cyprus,2.000,1965
Malta,0.500,1965
Iceland,0.000,1965
Spain,53.333,1966
England,42.682,1966
Hungary,39.999,1966
Italy,38.128,1966
Germany,30.233,1966
Scotland,29.950,1966
Czechoslovakia,29.665,1966
Portugal,24.850,1966
Belgium,23.300,1966
Yugoslavia,22.600,1966
Bulgaria,19.166,1966
Netherlands,18.499,1966
Poland,17.500,1966
Romania,16.666,1966
Wales,14.000,1966
France,13.566,1966
East Germany,13.332,1966
Austria,12.999,1966
Turkey,11.499,1966
Switzerland,11.166,1966
Sweden,10.666,1966
Soviet Union,10.000,1966
Greece,7.749,1966
Denmark,7.165,1966
Albania,5.000,1966
Ireland,4.333,1966
Northern Ireland,3.500,1966
Norway,3.333,1966
Luxembourg,3.165,1966
Finland,3.000,1966
Cyprus,2.500,1966
Malta,1.500,1966
Iceland,0.000,1966
England,45.482,1967
Spain,41.733,1967
Italy,41.728,1967
Hungary,38.332,1967
Scotland,35.300,1967
Germany,32.866,1967
Czechoslovakia,28.832,1967
Bulgaria,26.499,1967
Yugoslavia,23.200,1967
Belgium,22.300,1967
Portugal,22.200,1967
Netherlands,19.499,1967
Romania,18.666,1967
Poland,18.000,1967
France,16.066,1967
East Germany,14.998,1967
Wales,14.000,1967
Austria,13.165,1967
Soviet Union,13.000,1967
Sweden,11.999,1967
Turkey,11.499,1967
Switzerland,11.166,1967
Northern Ireland,8.000,1967
Greece,7.415,1967
Ireland,5.999,1967
Denmark,5.999,1967
Albania,5.000,1967
Norway,4.333,1967
Finland,3.500,1967
Luxembourg,2.998,1967
Cyprus,2.500,1967
Malta,2.000,1967
Iceland,0.500,1967
England,49.016,1968
Hungary,43.665,1968
Spain,41.566,1968
Italy,40.628,1968
Scotland,35.700,1968
Germany,35.094,1968
Czechoslovakia,27.832,1968
Portugal,23.600,1968
Wales,23.000,1968
Poland,21.500,1968
Bulgaria,21.332,1968
Yugoslavia,21.200,1968
Belgium,20.600,1968
Soviet Union,20.000,1968
Romania,17.916,1968
France,17.483,1968
Netherlands,16.666,1968
East Germany,14.582,1968
Austria,12.499,1968
Switzerland,12.250,1968
Turkey,10.499,1968
Northern Ireland,8.333,1968
Sweden,7.999,1968
Greece,7.748,1968
Norway,4.999,1968
Ireland,4.999,1968
Denmark,4.082,1968
Albania,4.000,1968
Finland,3.500,1968
Luxembourg,3.331,1968
Cyprus,3.000,1968
Malta,2.500,1968
Iceland,1.500,1968
England,53.701,1969
Hungary,53.665,1969
Scotland,38.366,1969
Italy,37.428,1969
Spain,36.832,1969
Germany,32.927,1969
Czechoslovakia,29.832,1969
Poland,25.500,1969
Portugal,22.766,1969
Wales,21.000,1969
Yugoslavia,20.116,1969
Soviet Union,20.000,1969
Bulgaria,19.832,1969
Netherlands,18.200,1969
Romania,18.166,1969
Belgium,18.100,1969
East Germany,15.582,1969
France,13.816,1969
Austria,11.999,1969
Greece,11.082,1969
Switzerland,10.550,1969
Turkey,8.999,1969
Sweden,8.999,1969
Northern Ireland,7.999,1969
Norway,7.665,1969
Denmark,7.416,1969
Finland,5.500,1969
Ireland,4.999,1969
Albania,4.000,1969
Luxembourg,3.665,1969
Malta,3.000,1969
Iceland,2.000,1969
Cyprus,1.000,1969
England,51.951,1970
Hungary,46.415,1970
Scotland,39.566,1970
Italy,38.428,1970
Germany,32.760,1970
Spain,31.832,1970
Poland,28.750,1970
Czechoslovakia,27.966,1970
Belgium,23.500,1970
Soviet Union,23.500,1970
Portugal,23.266,1970
Netherlands,22.700,1970
East Germany,22.666,1970
Yugoslavia,19.716,1970
Bulgaria,19.082,1970
Wales,19.000,1970
Romania,16.500,1970
Turkey,13.332,1970
France,13.016,1970
Austria,10.749,1970
Greece,9.999,1970
Switzerland,9.050,1970
Sweden,8.999,1970
Northern Ireland,8.749,1970
Denmark,8.666,1970
Norway,7.832,1970
Ireland,4.665,1970
Albania,4.000,1970
